Dentigloborotalia_anfracta,Globorotalia_cavernula,Globorotalia_crassaformis,Globorotalia_hirsuta,Globorotalia_menardii,Globorotalia_scitula,Globorotalia_tumida,Globorotalia_ungulata,Globorotalia_theyeri,Globoconella_inflata,Neogloboquadrina_dutertrei,Neogloboquadrina_incompta,Neogloboquadrina_pachyderma,Pulleniatina_obliquiloculata,Globoquadrina_conglomerata,Globorotaloides_hexagonus,Berggrenia_pumilio,Globigerina_bulloides,Globigerina_falconensis,Globigerinoides_conglobatus,Globigerinoides_ruber,Globigerinoides_white,Globigerinoides_tenellus,Orbulina_universa,Beella_digitata,Globigerinella_siphonifera,Globigerinella_calida,Globigerinella_adamsi,Turborotalita_quinqueloba,Turborotalita_humilis,Globoturborotalita_rubescens,Sphaeroidinella_dehiscens,Candeina_nitida,Globigerinita_glutinata,Globigerinita_uvula,Globigerinita_minuta,Tenuitella_iota,Hastigerina_pelagica,Hastigerinella_digitata,Globorotalia_truncatulinoides_dextral_coiling,Globorotalia_truncatulinoides_sinistral_coiling,Trilobatus_sacculifer_w_sac_chamber,Trilobatus_sacculifer_wo_sac_chamber,unidentified,Temp_mediaAnual
0,0,0,0.069672131,0,0,0,0,0,0.422131148,0.06557377,0.31147541,0.024590164,0.004098361,0,0,0,0.045081967,0.016393443,0,0,0.004098361,0,0,0,0.004098361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016393443,0,0,0.016393443,17.9447
0,0,0,0.078125,0,0,0,0,0,0.53125,0.025,0.240625,0.015625,0.003125,0,0,0,0.06875,0,0,0,0.003125,0,0,0,0.003125,0,0,0,0,0,0,0,0.00625,0,0,0,0,0,0,0.015625,0,0,0.009375,17.9453
0,0,0,0,0.001577453,0,0,0,0,0.389946367,0.079293301,0.136922915,0.002523925,0.001261962,0,0,0,0.171206226,0,0.001367126,0,0.045430645,0,0.018088127,0.006309812,0.01430224,0,0,0.005047849,0,0.005047849,0,0,0.065306552,0,0,0,0,0,0.001892944,0.030497423,0.003891051,0.020086234,0,17.893
0,0,0,0.006329114,0,0.012658228,0,0,0,0.287974684,0.088607595,0.17721519,0,0.012658228,0,0,0,0.110759494,0.069620253,0,0,0.053797468,0,0.012658228,0.006329114,0.015822785,0.028481013,0,0,0,0,0,0,0.041139241,0,0,0,0,0,0,0.044303797,0.003164557,0.022151899,0.006329114,17.7324
0,0,0,0.006,0.006,0.012,0,0,0,0.306,0.052,0.218,0.015,0,0,0,0,0.067,0.091,0.003,0,0.064,0,0,0,0.006,0.003,0,0,0,0,0,0,0.064,0,0,0,0,0,0,0.021,0.021,0.015,0.03,17.731
0,0,0.003992016,0.074850299,0,0,0,0,0,0.198602794,0.017964072,0.479041916,0.005988024,0,0,0,0,0.103792415,0,0.010978044,0,0.021956088,0,0.000998004,0,0.013972056,0,0,0,0,0,0,0,0.005988024,0,0,0,0,0,0,0,0,0.002994012,0,17.0745
0,0,0,0.061876248,0.00998004,0.00499002,0.002994012,0,0,0.213572854,0.008982036,0.126746507,0.001996008,0,0,0,0,0.051896208,0.00499002,0.03493014,0,0.265469062,0.00499002,0.00998004,0,0.02994012,0.006986028,0,0,0,0,0.013972056,0,0.013972056,0,0,0,0,0,0.067864271,0.045908184,0.006986028,0.010978044,0,17.0744
0,0,0.002898551,0.031884058,0,0.008695652,0,0,0,0.266666667,0,0.211594203,0.008695652,0,0,0,0,0.12173913,0.176811594,0,0,0.043478261,0,0.005797101,0,0.002898551,0,0,0.031884058,0,0,0,0,0.011594203,0,0,0,0,0,0.014492754,0.046376812,0,0,0.014492754,16.7837
0,0,0.002997003,0.031968032,0,0.011988012,0,0,0,0.263736264,0,0.207792208,0.005994006,0,0,0,0,0.117882118,0.152847153,0,0,0.042957043,0,0.005994006,0,0.002997003,0.005994006,0,0.034965035,0.002997003,0,0,0,0.011988012,0,0,0,0,0,0.013986014,0.045954046,0,0,0.036963037,16.7837
0,0,0,0.047047047,0,0.009009009,0,0,0,0.15015015,0.015015015,0.185185185,0,0,0,0,0,0.035035035,0.077077077,0.009009009,0,0.307307307,0,0,0.003003003,0.012012012,0,0,0,0,0.003003003,0,0,0.024024024,0,0,0,0,0,0.015015015,0.065065065,0.006006006,0.012012012,0.025025025,17.9214
